site,n_obs,ra_std,dec_std
701,4812,0.4424289373064799,0.336499831310445
695,4763,0.345404743976752,0.23676804997861925
130,4727,0.23495076013879546,0.19367513415033993
168,4713,0.2260513832443896,0.2058947366810021
J38,4634,0.14890680098496734,0.1548668007106735
L32,4520,0.13129205541019726,0.07549896017538353
951,4468,0.4366727604754078,0.3418531180840652
O17,4418,0.5369294895465982,0.2421434592493172
381,4385,0.9870046506934906,0.7859727993832298
C97,4372,0.20978946853619712,0.17532384356805628
385,4340,0.7503543282606986,0.6549111315712876
114,4330,0.3218158514876376,0.2057112497775279
426,4320,0.5445976825344558,0.4504126556299214
H23,4313,0.27050230784698964,0.3077092380271737
760,4261,39.14850620849773,15.957803560364537
684,4195,0.49358484955525184,0.4587954093307648
006,4162,0.5108395017505326,0.37145853724375666
113,4149,0.699921283848011,0.49648894055883686
G80,4134,0.3552778500747316,0.47001096105935325
221,4011,0.2590245174914451,0.19016477055565073
M18,3948,0.28496927588527327,0.2228826659170681
V18,3918,0.6038733710273229,0.5130620208744604
711,3805,0.6566255199270704,0.5035410159542956
B92,3732,0.23565893737155433,0.17064701114504435
C15,3728,0.4375569586976092,0.4435422251683369
805,3717,0.9378943226549117,0.8882209586493447
H45,3711,0.26462289178196885,0.17536647937599173
678,3612,0.7653553785289692,0.7029726259234405
G14,3606,0.33081843056683685,0.2584718718077558
511,3568,1.6669333381095612,1.3077800580382914
596,3340,0.8335092349020171,0.8725914812840481
894,3315,1.044294001330275,0.9432081001020556
022,3295,0.7566202354441035,0.5811694988808209
204,3270,0.16360615877020276,0.15682713898314513
360,3259,0.4762020693527638,0.4294630200056525
552,3251,1.0873151204574607,0.9409158835262647
888,3244,0.9353711489182245,0.8038125862082217
D04,3241,0.28608671923759416,0.24438586856345873
983,3200,0.4726596407146478,0.41637496195929624
076,3188,1.9435542192393003,1.434057970673344
C20,3186,0.2305843679990434,0.18631730943673203
D95,3179,0.2638288274996847,0.26673189123775226
108,3137,0.8530043704787122,0.817432398565452
G27,3122,0.6039611929793782,0.5743286785498459
026,3085,1.2676820608644717,0.8933425608218406
G91,3051,0.1861534734329944,0.15084317325043722
585,3048,0.24158672126306377,0.23798490040786618
151,3037,0.5722759169808599,0.43174291127152953
Z55,2981,0.1640586167172428,0.12851835751108442
Q68,2975,0.5376322915788915,0.3682762106258787
260,2972,0.7391464520588725,0.5625033009949875
900,2968,0.3049327313457819,0.26597044844943507
G26,2958,0.4550502852040647,0.3828284126179967
379,2950,0.33383675816194774,0.25948285680909583
L69,2948,0.423037466011226,0.28832433996201323
W46,2905,0.2859255254354272,0.26614195221575626
127,2899,0.47795742523948065,0.5238377895563358
G69,2892,0.23665092536949223,0.2040586011621532
587,2879,0.6586945739180495,0.6061184193753482
589,2876,0.7230141688783303,0.6694217303306914
K83,2867,0.26415361351339656,0.23521982329933663
658,2816,0.7354799248096962,0.5266067290904188
M31,2794,0.3218173421352046,0.25864046486017755
Z34,2770,0.16055085109939918,0.13513170736566665
A13,2737,0.25132637181912704,0.19186851105970698
732,2737,0.7654512226418363,0.5633256453646281
G78,2723,0.4638511812046548,0.41506316968135104
491,2676,0.8852939026388674,0.7407030198924187
583,2663,0.2710491315789659,0.1763718678219697
H41,2654,0.36111529656939706,0.30728384889471105
C47,2629,0.1878266740396551,0.14925465580684963
J26,2599,0.4979864537381896,0.45301007909191926
V30,2594,0.3110039318694103,0.2370651907220366
C73,2560,0.3017685203801691,0.22430913138242373
474,2555,1.477249257795189,1.0415943878595881
247,2522,0.5445156394730056,0.4514548653896203
Z80,2512,0.3770226599622474,0.305084563273013
H10,2501,0.2561122071198778,0.20847305835201085
209,2492,0.5569986547716096,0.31841462177900964
056,2474,1.0379435341270473,0.911618184431919
W09,2469,0.3730321378982722,0.31707794582386073
423,2460,0.7945927095182451,0.6474856328102633
224,2459,0.5105025554278584,0.3974026056738828
Y05,2442,0.2734966776523173,0.18180488580828988
098,2431,1.152861577349539,1.0704588184008101
Y16,2424,0.6434766984027647,0.41436980275754676
561,2404,0.6307081043280358,0.4024203996752739
V42,2356,0.27721690925659015,0.1289702418233921
657,2317,1.0208660911721628,1.2716790239662714
W33,2279,0.3169814151973693,0.2627384628958764
